source_id,source_ident,state,name,historical_name,municipality,latitude_deg,longitude_deg,elevation_ft,status,include,notes,source_url
894491E591,,AK,(Original) Huslia Airport,,Huslia,65.702,-156.382,,HISTORICAL_INFORMATIONAL,yes,,https://www.airfields-freeman.com/AK/Airfields_AK_E.htm
4A708035FB,,AK,(Original) Point Barrow Airfield / Barrow Naval Arctic Research Laboratory Airfield / Original Point Barrow Airport,,Barrow,71.338,-156.639,,HISTORICAL_INFORMATIONAL,yes,,https://www.airfields-freeman.com/AK/Airfields_AK_E.htm
99B39E5396,,AK,Alexai Point Army Airfield,,Attu Island,52.816,173.297,,HISTORICAL_INFORMATIONAL,yes,,https://www.airfields-freeman.com/AK/Airfields_AK_W.htm
764D8AFE6B,,AK,Amchitka Army Airfield / Naval Air Facility Amchitka / Amchitka Air Force Base,,Amchitka Island,51.38,179.27,,HISTORICAL_INFORMATIONAL,yes,,https://www.airfields-freeman.com/AK/Airfields_AK_W.htm
CBF00E841A,,AK,Anchorage Aviation Field / Delaney Park Airfield,,Anchorage,61.213,-149.899,,HISTORICAL_INFORMATIONAL,yes,,https://www.airfields-freeman.com/AK/Airfields_AK_E.htm
952F0839F7,,AK,Deering Airport (original location),,Deering,66.079,-162.734,,HISTORICAL_INFORMATIONAL,yes,,https://www.airfields-freeman.com/AK/Airfields_AK_W.htm
B6C3D47748,,AK,Fort Glenn North Satellite Army Airfield / North Shore Airfield,,Umnak Island,53.375,-167.895,,HISTORICAL_INFORMATIONAL,yes,,https://www.airfields-freeman.com/AK/Airfields_AK_W.htm
3F2B4B4CBF,,AK,Fort Randall Army Airfield Satellite Field,,Cold Bay,55.176,-162.646,,HISTORICAL_INFORMATIONAL,yes,,https://www.airfields-freeman.com/AK/Airfields_AK_W.htm
343D8C4B15,,AK,Miller Army Airfield,,Cape Chiniak,57.616,-152.194,,HISTORICAL_INFORMATIONAL,yes,,https://www.airfields-freeman.com/AK/Airfields_AK_E.htm
6227A067B6,,AK,Naval Air Station Sitka,,Sitka,57.053,-135.352,,HISTORICAL_INFORMATIONAL,yes,,https://www.airfields-freeman.com/AK/Airfields_AK_E.htm
51CFB64B33,,AK,Newtok Airport (EWU / WWT),,Newtok,60.938,-164.64,,HISTORICAL_INFORMATIONAL,yes,,https://www.airfields-freeman.com/AK/Airfields_AK_W.htm
AD055EE27E,,AK,Nuiqsut Airport (original location),,Nuiqsut,70.217,-150.972,,HISTORICAL_INFORMATIONAL,yes,,https://www.airfields-freeman.com/AK/Airfields_AK_E.htm
50EDADF803,,AK,Ogliuga Army Airfield,,Ogliuga Island,51.606,-178.656,,HISTORICAL_INFORMATIONAL,yes,,https://www.airfields-freeman.com/AK/Airfields_AK_W.htm
0CA9952987,,AK,Phillips Field,,Fairbanks,64.85,-147.793,,HISTORICAL_INFORMATIONAL,yes,,https://www.airfields-freeman.com/AK/Airfields_AK_E.htm
818EDC261C,,AK,Point Spencer Army Airfield/ Point Spencer Air Force Base,,Point Spencer,65.277,-166.849,,HISTORICAL_INFORMATIONAL,yes,,https://www.airfields-freeman.com/AK/Airfields_AK_W.htm
